** Title: * 
** Netlist: bip_opamp.scs
** Date: 10:55:06 AM, Sat Aug 22, 2026
** Analysis: tran1
** Temperature: 100
** Tnom: 27
           time          V(out) 
              0 0.0189904873714127 
          1e-09 0.0189904873763805 
          3e-09 0.0189904873843506 
          7e-09 0.0189904873961498 
        1.5e-08 0.0189904873998315 
        3.1e-08 0.0189904873889303 
        5.1e-08 0.0189904873884771 
        7.1e-08 0.0189904873903306 
        9.1e-08 0.0189904873892273 
       1.11e-07 0.018990487389596 
       1.31e-07 0.0189904873895594 
       1.51e-07 0.018990487389515 
       1.71e-07 0.018990487389551 
       1.91e-07 0.0189904873895336 
       2.11e-07 0.018990487389536 
       2.31e-07 0.018990487389534 
       2.51e-07 0.018990487389546 
       2.71e-07 0.0189904873895308 
       2.91e-07 0.0189904873895432 
       3.11e-07 0.0189904873895322 
       3.31e-07 0.018990487389543 
       3.51e-07 0.018990487389537 
       3.71e-07 0.0189904873895401 
       3.91e-07 0.0189904873895332 
       4.11e-07 0.0189904873895432 
       4.31e-07 0.0189904873895382 
       4.51e-07 0.0189904873895397 
       4.71e-07 0.0189904873895325 
       4.91e-07 0.0189904873895447 
       5.11e-07 0.0189904873895345 
       5.31e-07 0.0189904873895434 
       5.51e-07 0.0189904873895311 
       5.71e-07 0.0189904873895383 
       5.91e-07 0.0189904873895417 
       6.11e-07 0.0189904873895387 
       6.31e-07 0.0189904873895324 
       6.51e-07 0.0189904873895444 
       6.71e-07 0.0189904873895298 
       6.91e-07 0.0189904873895468 
       7.11e-07 0.0189904873895298 
       7.31e-07 0.0189904873895502 
       7.51e-07 0.018990487389525 
       7.71e-07 0.0189904873895491 
       7.91e-07 0.0189904873895333 
       8.11e-07 0.0189904873895354 
       8.31e-07 0.0189904873895429 
8.51000000000001e-07 0.0189904873895308 
8.71000000000001e-07 0.0189904873895402 
8.91000000000001e-07 0.0189904873895411 
9.11000000000001e-07 0.0189904873895388 
9.31000000000001e-07 0.0189904873895407 
9.51000000000001e-07 0.0189904873895372 
9.71000000000001e-07 0.0189904873895386 
      9.855e-07 0.0189904873895364 
          1e-06 0.0189904873895438 



